idx,t,x,y,heading_deg,velocity,omega,left_voltage,right_voltage
239,2.711000,69.620619,43.445534,157.075309,49.258864,-1.903063,9.552720,5.821326
240,2.721000,69.620619,43.445534,157.075309,51.476305,-1.643882,9.390169,6.304563
241,2.731000,69.620619,43.445534,157.075309,52.340243,-1.159117,9.085161,6.810209
242,2.741000,69.620619,43.445534,157.075309,52.671419,-1.166316,8.700980,7.373326
243,2.751000,69.620619,43.445534,157.075309,51.965869,-1.499892,8.245507,8.007737
244,2.761000,69.620619,43.445534,157.075309,50.151600,-1.610284,7.711648,8.720532
245,2.771000,66.909625,44.729724,148.374392,50.324387,-1.711077,7.092935,9.518183
246,2.781000,66.483574,44.997548,147.316925,51.908274,-1.327105,6.384586,10.405468
247,2.791000,66.048981,45.281681,146.330577,52.009066,-0.964731,5.585107,11.383884
248,2.801000,65.571654,45.605730,145.325446,51.519502,-0.523162,5.722512,10.989129
249,2.811000,65.571654,45.605730,145.325446,47.214211,-0.535162,8.873972,6.309111
250,2.821000,65.150054,45.901826,144.512738,47.948558,-0.969530,11.529074,2.303413
251,2.831000,64.767282,46.178391,143.788694,48.034952,-1.670280,11.379169,2.274381
252,2.841000,64.297499,46.526457,143.141220,44.651195,-2.219841,11.207401,2.267213
253,2.851000,64.297499,46.526457,143.141220,39.784344,-2.287036,11.023168,2.272509
254,2.861000,64.297499,46.526457,143.141220,37.941276,-2.450224,10.832351,2.284388
255,2.871000,64.297499,46.526457,143.141220,45.443138,-1.881465,10.638467,2.299336
256,2.881000,64.297499,46.526457,143.141220,51.418709,-1.063124,10.443545,2.315321
257,2.891000,64.297499,46.526457,143.141220,47.559786,-1.418298,10.248683,2.331246
258,2.901000,64.297499,46.526457,143.141220,45.745516,-1.999056,10.110021,2.370765
259,2.911000,62.225073,48.187918,139.323308,45.745516,-1.999056,10.080996,2.449829
260,2.921000,61.867870,48.499436,138.493038,47.746972,-1.910263,10.072873,2.527512
261,2.931000,61.512674,48.818654,137.614235,44.665594,-1.871866,10.065154,2.598881
262,2.941000,61.181129,49.126346,136.659855,44.665594,-1.871866,10.057112,2.670140
263,2.951000,60.876374,49.418978,135.665157,45.803112,-2.493421,10.047004,2.753811
264,2.961000,60.551514,49.742057,134.649807,44.190428,-2.047053,10.037437,2.824165
265,2.971000,60.243865,50.059274,133.595697,43.657666,-2.318234,10.027005,2.898640
266,2.981000,60.243865,50.059274,133.595697,44.507205,-2.416627,10.015415,2.979002
267,2.991000,60.243865,50.059274,133.595697,45.198355,-2.407027,10.002382,3.066948
268,3.001000,60.243865,50.059274,133.595697,45.601526,-2.555817,9.987616,3.164182
269,3.011000,60.243865,50.059274,133.595697,49.230066,-3.141374,9.970802,3.272504
270,3.021000,60.243865,50.059274,133.595697,46.191884,-2.779001,9.951592,3.393876
271,3.031000,60.243865,50.059274,133.595697,43.715262,-2.207842,9.929580,3.530506
272,3.041000,58.436651,52.439243,124.488407,44.132832,-2.195842,9.902012,3.701757
273,3.051000,58.191200,52.806066,123.086857,47.588584,-2.872594,9.872726,3.882021
274,3.061000,57.936191,53.208022,121.696627,47.271806,-2.675808,9.839358,4.086161
275,3.071000,57.667993,53.655213,120.208972,45.126360,-2.179044,9.800968,4.319896
276,3.081000,57.445518,54.047871,118.861750,44.521604,-2.092650,9.756651,4.588548
277,3.091000,57.235221,54.440284,117.512527,44.521604,-2.092650,9.705292,4.898715
278,3.101000,56.995339,54.915464,116.058941,47.401397,-1.804670,9.645505,5.258644
279,3.111000,56.995339,54.915464,116.058941,47.890962,-1.737475,9.575551,5.678842
280,3.121000,56.995339,54.915464,116.058941,50.468377,-1.735075,9.456507,6.155640
281,3.131000,56.995339,54.915464,116.058941,53.074590,-1.684679,9.189480,6.651861
282,3.141000,56.995339,54.915464,116.058941,53.031393,-1.202314,8.825247,7.195031
283,3.151000,56.995339,54.915464,116.058941,48.625309,-1.667880,8.391699,7.807516
284,3.161000,56.995339,54.915464,116.058941,47.660579,-1.891064,7.841774,8.471989
285,3.171000,56.995339,54.915464,116.058941,50.137201,-1.329505,6.745689,8.886937
286,3.181000,55.848343,58.244455,106.988136,50.137201,-1.329505,4.681245,8.544499
287,3.191000,55.704222,58.729876,106.083997,49.201268,-0.899935,4.002380,9.044427
288,3.201000,55.571335,59.203649,105.252285,49.201268,-0.899935,3.417347,9.450523
289,3.211000,55.449426,59.662456,104.508020,45.702319,-0.067195,4.667825,8.021109
290,3.221000,55.337357,60.105757,103.866811,45.702319,-0.067195,10.102211,2.407786
291,3.231000,55.237251,60.519456,103.339082,41.368230,0.170388,9.988537,2.342523
292,3.241000,55.143202,60.922514,102.929319,45.831910,-1.375101,9.856111,2.296013
293,3.251000,55.143202,60.922514,102.929319,40.360303,-1.927062,9.710637,2.262549
294,3.261000,55.143202,60.922514,102.929319,42.750531,-3.189371,9.557174,2.237075
295,3.271000,55.143202,60.922514,102.929319,48.970884,-1.975058,9.398900,2.216413
296,3.281000,55.143202,60.922514,102.929319,54.298502,-1.864666,9.237776,2.198601
297,3.291000,55.143202,60.922514,102.929319,54.658476,-2.438225,9.075010,2.182429
298,3.301000,55.143202,60.922514,102.929319,49.086076,-2.320633,8.911309,2.167193
299,3.311000,54.550643,64.184722,100.326699,43.096106,-1.259910,8.735767,2.163799
300,3.321000,54.475787,64.609127,99.679096,43.916847,-1.223912,8.552916,2.167713
301,3.331000,54.403936,65.047403,98.941461,45.644723,-1.828669,8.388371,2.153321
302,3.341000,54.336108,65.498916,98.144995,44.953573,-2.063852,8.223792,2.138964
303,3.351000,54.275681,65.944413,97.303820,41.512220,-1.754274,8.059187,2.124631
304,3.361000,54.226155,66.356649,96.397545,41.512220,-1.754274,7.888823,2.116059
305,3.371000,54.182428,66.779158,95.420037,41.944189,-2.013455,7.701923,2.124022
306,3.381000,54.182428,66.779158,95.420037,41.195443,-1.869466,7.536958,2.110050
307,3.391000,54.182428,66.779158,95.420037,41.929790,-1.943860,7.371953,2.096119
308,3.401000,54.182428,66.779158,95.420037,41.209842,-2.193443,7.202150,2.086985
309,3.411000,54.182428,66.779158,95.420037,41.109049,-2.258238,7.014513,2.095685
310,3.421000,54.182428,66.779158,95.420037,42.304163,-2.505420,6.848727,2.082534
311,3.431000,54.182428,66.779158,95.420037,39.381173,-2.075851,6.683435,2.068889
312,3.441000,53.930778,69.848715,87.294130,37.451711,-1.951060,6.496721,2.076667
313,3.451000,53.952276,70.222686,86.125648,37.379717,-2.083050,6.324151,2.070299
314,3.461000,53.981206,70.595395,84.997571,37.840484,-2.001456,6.159054,2.056460
315,3.471000,54.017852,70.972017,83.887308,37.437312,-1.910263,5.972015,2.064562
316,3.481000,54.061355,71.343926,82.769496,37.192530,-2.152645,5.799283,2.058357
317,3.491000,54.111802,71.712448,81.640809,35.637442,-2.013455,5.635491,2.043212
318,3.501000,54.167085,72.064504,80.510709,35.061483,-1.826269,5.440395,2.059372
319,3.511000,54.167085,72.064504,80.510709,35.824628,-1.670280,5.277686,2.043143
320,3.521000,54.167085,72.064504,80.510709,35.363861,-1.646282,5.099671,2.042222
